Nome: VITORIA
Codigo Estacao: A612
Latitude: -20.27083332
Longitude: -40.30583333
Altitude: 9
Situacao: Operante
Data Inicial: 2006-10-30
Data Final: 2021-08-01
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-10-31;null;
2006-11-30;24.328038;
2006-12-31;25.09342;
2007-01-31;26.348118;
2007-02-28;25.765897;
2007-03-31;26.649103;
2007-04-30;25.34625;
2007-05-31;22.90724;
2007-06-30;21.978104;
2007-07-31;22.387588;
2007-08-31;21.667742;
2007-09-30;22.080694;
2007-10-31;24.195027;
2007-11-30;25.187917;
2007-12-31;26.018952;
2008-01-31;25.347715;
2008-02-29;26.172768;
2008-03-31;25.896491;
2008-04-30;26.077639;
2008-05-31;22.673849;
2008-06-30;21.781001;
2008-07-31;20.954973;
2008-08-31;22.629032;
2008-09-30;22.349861;
2008-10-31;24.544489;
2008-11-30;23.850556;
2008-12-31;25.042083;
2009-01-31;26.084812;
2009-02-28;27.126598;
2009-03-31;26.725672;
2009-04-30;24.778333;
2009-05-31;23.00914;
2009-06-30;21.460139;
2009-07-31;22.298253;
2009-08-31;22.120565;
2009-09-30;24.273889;
2009-10-31;24.416954;
2009-11-30;26.486111;
2009-12-31;26.865591;
2010-01-31;27.992361;
2010-02-28;27.823512;
2010-03-31;26.942473;
2010-04-30;25.031945;
2010-05-31;23.261559;
2010-06-30;20.643472;
2010-07-31;21.491263;
2010-08-31;20.964212;
2010-09-30;22.773333;
2010-10-31;23.531586;
2010-11-30;24.435556;
2010-12-31;26.534409;
2011-01-31;26.689516;
2011-02-28;26.876488;
2011-03-31;25.25623;
2011-04-30;24.7275;
2011-05-31;22.405833;
2011-06-30;21.534583;
2011-07-31;21.101613;
2011-08-31;22.344489;
2011-09-30;21.744722;
2011-10-31;23.188844;
2011-11-30;22.970278;
2011-12-31;24.877016;
2012-01-31;25.410326;
2012-02-29;25.921695;
2012-03-31;26.090995;
2012-04-30;25.30625;
2012-05-31;22.274324;
2012-06-30;22.887933;
2012-07-31;21.759946;
2012-08-31;21.360139;
2012-09-30;22.660833;
2012-10-31;24.055242;
2012-11-30;24.223889;
2012-12-31;27.226882;
2013-01-31;26.382527;
2013-02-28;26.786458;
2013-03-31;26.06954;
2013-04-30;24.064306;
2013-05-31;22.786559;
2013-06-30;22.494343;
2013-07-31;21.808737;
2013-08-31;21.69328;
2013-09-30;22.75546;
2013-10-31;23.402285;
2013-11-30;24.283195;
2013-12-31;25.322581;
2014-01-31;26.471371;
2014-02-28;26.529911;
2014-03-31;26.416532;
2014-04-30;25.320574;
2014-05-31;23.145504;
2014-06-30;22.217874;
2014-07-31;21.268068;
2014-08-31;21.626478;
2014-09-30;23.285;
2014-10-31;23.235081;
2014-11-30;25.069861;
2014-12-31;26.217608;
2015-01-31;27.452349;
2015-02-28;27.167857;
2015-03-31;26.801344;
2015-04-30;25.1025;
2015-05-31;22.761364;
2015-06-30;null;
2015-07-31;22.254032;
2015-08-31;22.058468;
2015-09-30;24.632639;
2015-10-31;25.240995;
2015-11-30;26.751528;
2015-12-31;27.53293;
2016-01-31;26.731855;
2016-02-29;28.173276;
2016-03-31;27.388172;
2016-04-30;26.51625;
2016-05-31;24.009677;
2016-06-30;21.587083;
2016-07-31;21.884678;
2016-08-31;22.669893;
2016-09-30;23.712083;
2016-10-31;23.823305;
2016-11-30;24.605;
2016-12-31;26.262903;
2017-01-31;27.551613;
2017-02-28;26.599148;
2017-03-31;26.430575;
2017-04-30;24.843889;
2017-05-31;22.633297;
2017-06-30;22.759426;
2017-07-31;20.176864;
2017-08-31;20.785753;
2017-09-30;21.714662;
2017-10-31;24.633737;
2017-11-30;23.976793;
2017-12-31;25.468859;
2018-01-31;26.87836;
2018-02-28;25.912054;
2018-03-31;26.546505;
2018-04-30;24.262277;
2018-05-31;22.6507;
2018-06-30;22.506667;
2018-07-31;21.814475;
2018-08-31;21.96506;
2018-09-30;23.486806;
2018-10-31;24.283557;
2018-11-30;24.727778;
2018-12-31;25.949217;
2019-01-31;27.653921;
2019-02-28;27.902219;
2019-03-31;27.27538;
2019-04-30;26.563533;
2019-05-31;24.654862;
2019-06-30;22.931301;
2019-07-31;21.207802;
2019-08-31;21.347959;
2019-09-30;23.529752;
2019-10-31;24.604167;
2019-11-30;24.772506;
2019-12-31;25.890884;
2020-01-31;26.589101;
2020-02-29;26.324281;
2020-03-31;25.717732;
2020-04-30;25.013218;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;23.725519;
2020-10-31;null;
2020-11-30;null;
2020-12-31;25.981005;
2021-01-31;null;
2021-02-28;26.191917;
2021-03-31;26.076402;
2021-04-30;24.049911;
2021-05-31;null;
2021-06-30;21.151021;
2021-07-31;20.79437;
2021-08-31;21.634666;

