Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2006-10-26
Data Final: 2021-08-01
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-10-31;null;
2006-11-30;23.943857;
2006-12-31;25.094171;
2007-01-31;26.331855;
2007-02-28;25.593841;
2007-03-31;26.414317;
2007-04-30;25.260417;
2007-05-31;22.874396;
2007-06-30;22.186473;
2007-07-31;22.038748;
2007-08-31;21.555885;
2007-09-30;21.99625;
2007-10-31;23.936179;
2007-11-30;25.262917;
2007-12-31;25.723118;
2008-01-31;25.237903;
2008-02-29;26.127874;
2008-03-31;25.933796;
2008-04-30;26.046944;
2008-05-31;22.850374;
2008-06-30;21.914777;
2008-07-31;20.838844;
2008-08-31;22.310338;
2008-09-30;22.563889;
2008-10-31;24.570161;
2008-11-30;23.977307;
2008-12-31;24.737189;
2009-01-31;25.952975;
2009-02-28;26.837243;
2009-03-31;26.692204;
2009-04-30;24.895833;
2009-05-31;22.921505;
2009-06-30;21.807222;
2009-07-31;22.207392;
2009-08-31;21.998656;
2009-09-30;24.15;
2009-10-31;24.534689;
2009-11-30;25.887083;
2009-12-31;26.737769;
2010-01-31;27.770919;
2010-02-28;27.542327;
2010-03-31;26.93535;
2010-04-30;24.599722;
2010-05-31;23.454839;
2010-06-30;21.15887;
2010-07-31;21.556303;
2010-08-31;20.926794;
2010-09-30;22.071738;
2010-10-31;null;
2010-11-30;null;
2010-12-31;26.204301;
2011-01-31;26.442339;
2011-02-28;26.576339;
2011-03-31;25.671043;
2011-04-30;24.657639;
2011-05-31;22.399462;
2011-06-30;21.437575;
2011-07-31;21.042;
2011-08-31;21.986425;
2011-09-30;21.472994;
2011-10-31;22.895699;
2011-11-30;22.805833;
2011-12-31;24.732661;
2012-01-31;25.300941;
2012-02-29;25.660776;
2012-03-31;25.640305;
2012-04-30;25.144167;
2012-05-31;22.430376;
2012-06-30;22.929281;
2012-07-31;21.68172;
2012-08-31;21.27535;
2012-09-30;22.342222;
2012-10-31;23.742339;
2012-11-30;24.206111;
2012-12-31;26.644758;
2013-01-31;26.241935;
2013-02-28;26.603125;
2013-03-31;26.463462;
2013-04-30;23.87662;
2013-05-31;null;
2013-06-30;null;
2013-07-31;21.912658;
2013-08-31;21.697446;
2013-09-30;22.570972;
2013-10-31;22.950403;
2013-11-30;24.20625;
2013-12-31;25.247043;
2014-01-31;26.257124;
2014-02-28;26.160863;
2014-03-31;25.655242;
2014-04-30;25.002699;
2014-05-31;23.323925;
2014-06-30;22.285833;
2014-07-31;21.35121;
2014-08-31;21.581183;
2014-09-30;22.81003;
2014-10-31;23.148394;
2014-11-30;24.510695;
2014-12-31;25.499059;
2015-01-31;26.820332;
2015-02-28;26.732887;
2015-03-31;26.382661;
2015-04-30;25.186389;
2015-05-31;23.233586;
2015-06-30;21.726593;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;26.808114;
2015-12-31;27.558468;
2016-01-31;26.420699;
2016-02-29;27.707328;
2016-03-31;27.389919;
2016-04-30;26.580139;
2016-05-31;24.185349;
2016-06-30;22.237639;
2016-07-31;21.962903;
2016-08-31;22.405645;
2016-09-30;23.521111;
2016-10-31;23.888301;
2016-11-30;24.345;
2016-12-31;25.821505;
2017-01-31;26.843548;
2017-02-28;26.483929;
2017-03-31;26.29328;
2017-04-30;24.982917;
2017-05-31;22.85578;
2017-06-30;22.566806;
2017-07-31;20.289785;
2017-08-31;20.587634;
2017-09-30;21.12526;
2017-10-31;null;
2017-11-30;24.379891;
2017-12-31;24.915323;
2018-01-31;26.466667;
2018-02-28;25.321798;
2018-03-31;null;
2018-04-30;24.132596;
2018-05-31;22.931317;
2018-06-30;22.444167;
2018-07-31;21.913979;
2018-08-31;22.020968;
2018-09-30;23.066806;
2018-10-31;24.070699;
2018-11-30;24.547361;
2018-12-31;25.474866;
2019-01-31;27.435445;
2019-02-28;28.027259;
2019-03-31;27.243548;
2019-04-30;26.644444;
2019-05-31;25.080914;
2019-06-30;22.880833;
2019-07-31;21.511828;
2019-08-31;21.829839;
2019-09-30;23.485;
2019-10-31;24.558737;
2019-11-30;24.940278;
2019-12-31;25.806048;
2020-01-31;26.290229;
2020-02-29;26.77773;
2020-03-31;25.223656;
2020-04-30;24.568889;
2020-05-31;22.863306;
2020-06-30;22.655139;
2020-07-31;21.864516;
2020-08-31;21.605645;
2020-09-30;23.745278;
2020-10-31;24.410618;
2020-11-30;24.557222;
2020-12-31;26.580242;
2021-01-31;26.388575;
2021-02-28;25.811756;
2021-03-31;26.360349;
2021-04-30;24.807778;
2021-05-31;23.624866;
2021-06-30;22.091111;
2021-07-31;21.224866;
2021-08-31;21.583468;

