Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Pane
Data Inicial: 2017-02-14
Data Final: 2021-08-01
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-02-28;null;
2017-03-31;25.876344;
2017-04-30;24.214861;
2017-05-31;22.242479;
2017-06-30;22.161207;
2017-07-31;19.782527;
2017-08-31;20.338436;
2017-09-30;21.264429;
2017-10-31;24.044062;
2017-11-30;23.444147;
2017-12-31;24.909028;
2018-01-31;26.316497;
2018-02-28;25.348661;
2018-03-31;25.849047;
2018-04-30;23.849457;
2018-05-31;22.117863;
2018-06-30;21.961574;
2018-07-31;21.375672;
2018-08-31;21.318952;
2018-09-30;22.755495;
2018-10-31;23.633871;
2018-11-30;24.178352;
2018-12-31;25.307796;
2019-01-31;27.150538;
2019-02-28;27.176339;
2019-03-31;26.868548;
2019-04-30;25.860417;
2019-05-31;24.338038;
2019-06-30;22.523056;
2019-07-31;20.96129;
2019-08-31;21.017473;
2019-09-30;22.976944;
2019-10-31;24.179435;
2019-11-30;25.584115;
2019-12-31;null;
2020-01-31;null;
2020-02-29;26.260695;
2020-03-31;24.802687;
2020-04-30;23.952778;
2020-05-31;22.075538;
2020-06-30;21.91625;
2020-07-31;21.352823;
2020-08-31;21.542204;
2020-09-30;23.605556;
2020-10-31;23.813575;
2020-11-30;24.105175;
2020-12-31;25.736689;
2021-01-31;26.277006;
2021-02-28;25.374702;
2021-03-31;25.425269;
2021-04-30;23.588194;
2021-05-31;22.588844;
2021-06-30;21.178333;
2021-07-31;20.256855;
2021-08-31;null;

